Order ID , Order Item ID , Order YearMonth , Order Year , Order Month , Order Day ,Order Time,Order Quantity,Product Department,Product Category,Product Name, Customer ID ,Customer Market,Customer Region,Customer Country,Warehouse Country,Shipment Year,Shipment Month,Shipment Day,Shipment Mode, Shipment Days - Scheduled , Gross Sales , Discount % , Profit 
6766,16914,201504,2015,4,9,18:04,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,12206,LATAM,Central America,Mexico,USA,2016,7,20,Second Class,2,150,0.02,125
11578,28946,201506,2015,6,18,23:56,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,9564,Europe,Northern Europe,United Kingdom,USA,2016,9,12,Second Class,2,150,0.09,125
13281,33223,201507,2015,7,13,20:34,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,4892,Europe,Northern Europe,United Kingdom,USA,2016,9,10,First Class,1,150,0.04,125
15596,38992,201508,2015,8,16,15:37,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5599,Europe,Northern Europe,Sweden,USA,2016,9,23,First Class,1,150,  -  ,125
21068,52679,201511,2015,11,4,12:42,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,7218,Pacific Asia,Southeast Asia,Philippines,USA,2016,10,11,Second Class,2,150,0.02,125
33206,82995,201604,2016,4,29,17:11,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,2351,North America,East of USA,USA,USA,2016,12,31,Same Day,3,150,0.18,125
37095,92553,201606,2016,6,25,11:40,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,3300,North America,East of USA,USA,USA,2017,1,31,First Class,1,150,  -  ,125
39213,97886,201607,2016,7,26,9:42,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,6156,North America,East of USA,USA,USA,2017,2,16,Same Day,3,150,0.02,125
45233,113008,201610,2016,10,22,6:47,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,5395,Pacific Asia,West Asia,Israel�,USA,2017,3,31,First Class,1,150,0.16,125
57655,144232,201704,2017,4,21,14:45,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,3679,LATAM,Central America,Honduras,USA,2017,6,27,Second Class,2,150,0.09,125
59988,150145,201705,2017,5,25,16:07,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,123,LATAM,South America,Venezuela,USA,2017,7,15,Second Class,2,150,0.16,125
65991,164917,201708,2017,8,21,7:14,3,Fan Shop,Indoor/Outdoor Games,O'Brien Men's Neoprene Life Vest,10952,Europe,Western Europe,Germany,USA,2017,9,17,First Class,1,150,0.12,125
11505,28785,201506,2015,6,17,22:21,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,836,Europe,Western Europe,France,USA,2015,6,23,Second Class,2,200,0.1,125
15951,39858,201508,2015,8,21,19:59,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,9642,Europe,Western Europe,Germany,USA,2015,8,23,Second Class,2,200,0.04,125
29238,73132,201603,2016,3,2,19:01,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,11468,Pacific Asia,Southeast Asia,Indonesia,USA,2016,3,4,First Class,1,200,0.12,125
37095,92552,201606,2016,6,25,11:40,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,3300,North America,East of USA,USA,USA,2016,6,27,First Class,1,200,0.03,125
39595,98827,201607,2016,7,31,23:32,4,Golf,Women's Apparel,Nike Men's Dri-FIT Victory Golf Polo,2452,North America,South of  USA,USA,USA,2016,8,2,First Class,1,200,0.16,125
